 1965 8:09:58 PM,-1532.42,-6466.12,-7.41
 1965 8:19:20 AM,-3401.07,5702.69,-9.66
 1965 8:22:39 AM,5492.63,3609.31,-13.06
 1965 8:29:21 AM,6594.66,837.68,-3.4
 1965 8:38:31 PM,-6140.59,-2309.17,-10.83
 1965 8:39:58 PM,-36129.05,-22231.62,1.47
 1965 8:47:26 AM,3692.54,5418.4,0.16
 1965 9:10:10 AM,6170.28,2199.35,-6.62
 1965 9:30:25 PM,-1639.63,6358.19,-14.75
 1966 1:22:15 AM,-249.87,-6538.61,-9.65
 1966 1:31:45 PM,3811.21,5371.26,-12.44
 1966 1:46:06 AM,3489.9,-5594.47,-11.31
 1966 10:15:07 PM,-883.03,-6561.4,-10.83
 1966 10:25:21 AM,6264.78,-2190.98,-7.91
 1966 10:37:59 AM,4302.32,4963.65,-12.74
 1966 11:00:35 PM,-1044.97,6509.19,-6.75
 1966 11:12:48 AM,-1143.42,10862.32,-44.71
 1966 11:12:58 AM,6557.56,428.82,-6.95
 1966 11:34:05 PM,-1491.46,6370.89,-2.61
 1966 11:40:34 PM,-940.39,-6499.21,-7.67
 1966 11:44:04 PM,-2706.2,5967.4,-8.34
 1966 11:44:06 PM,-5761.88,3249.08,-8.59
 1966 11:52:00 AM,-1480.69,6621.4,-8.21
 1966 12:12:04 AM,-4975.24,-4313.63,-6.44
 1966 12:17:56 AM,2379.66,6127.74,-13.16
 1966 2:10:07 AM,2490.39,-6098.57,-3.26
 1966 2:12:54 PM,-3859.16,-5303.77,-3.47
 1966 2:24:41 AM,6494.22,-1275.19,-8.96
 1966 2:27:52 AM,-3901.51,-5257.44,-4.41
 1966 3:02:42 PM,-5333.73,-3887.03,-7.94
 1966 3:07:26 PM,2772.4,6002.75,-8.32
 1966 3:12:05 AM,-3715.23,5495.27,-13.28
 1966 3:13:50 PM,-143.76,-6577.14,-13.13
 1966 3:18:15 AM,-6506.54,-988.03,-1.77
 1966 3:27:47 AM,-6469.99,-1159.51,-4.54
 1966 3:42:36 PM,3800.34,-5397.24,-8.55
 1966 3:44:14 PM,4377.2,-4900.75,-3.47
 1966 3:48:13 AM,6784.49,-1273.48,-3.07
 1966 3:57:25 AM,2455.61,6085.62,-12.32
 1966 4:06:04 AM,-6303.6,-1806.11,-6.72
 1966 4:19:38 AM,3553.55,5547.03,-4.15
 1966 4:50:16 AM,2195.41,6249.6,-4.26
 1966 5:10:08 AM,3632.28,-5602.6,-9.33
 1966 5:20:18 AM,5437.88,-3637.91,-5.98
 1966 5:24:29 AM,508.33,7050.04,-17.26
 1966 5:32:35 AM,-3155.59,5814.46,-7.65
 1966 5:38:08 PM,6530.63,637.78,-0.66
 1966 5:39:30 PM,5775.82,3150.66,-0.59
 1966 5:57:43 AM,1447.13,-6491.7,-2.5
 1966 6:03:10 PM,1761.48,6404.89,-8.78
 1966 6:04:20 AM,3271.39,5736.03,-8.21
 1966 6:20:23 AM,6056.32,2529.62,-1.12
 1966 6:21:22 AM,6334.91,-1813.98,-4.19
 1966 6:26:05 PM,-6443.29,1174.47,-10.75
 1966 6:32:50 AM,-6414.54,-1547.03,-7.13
 1966 7:20:58 AM,4204.16,5070.73,-3.14
 1966 7:51:24 AM,-4488.45,-4874.23,-6.91
 1966 7:55:56 AM,-734.3,6622.67,-11.34
 1966 8:16:11 AM,-6243.65,2338.78,-0.58
 1966 8:44:46 AM,907.12,6534.83,-13.67
 1966 8:56:16 AM,-3347.52,5710.37,-9.23
 1966 9:16:05 PM,-6499.95,-961.91,-5.25
 1966 9:20:31 PM,1935.65,-6347.11,-9.14
 1966 9:21:53 AM,3082.8,5906.17,-10.23
 1966 9:37:58 PM,6557.11,-227.06,-4.77
 1966 9:40:49 PM,5075.06,-4106.49,-2.01
 1966 9:45:31 AM,6399.18,-1436.51,-7.56
 1966 9:55:29 PM,-2936.97,-5895.03,-12.28
 1966 9:59:02 PM,6005.36,2651.97,-7.14
 1967 1:01:15 PM,-5118.19,-4177.28,-1.37
 1967 1:02:42 PM,-3639.05,-5393.56,-8.64
 1967 1:08:33 AM,-5869.56,3027.85,-1.26
 1967 1:14:02 AM,4423.27,4817.78,-1.25
 1967 1:30:03 AM,-6268.62,2043.59,-0.85
 1967 1:31:50 AM,2927.16,-5874.42,-1.24
 1967 1:56:59 AM,5323.87,3822.11,398.71
 1967 10:05:19 AM,-6453.92,-1105.66,-0.85
 1967 10:09:58 AM,-4646.96,-4933.59,-1.3
 1967 10:21:28 AM,-4791.14,-4557.67,-1.14
 1967 10:27:13 PM,5856.66,-3027.4,-0.85
 1967 10:31:43 AM,3351.26,-5749.73,-1.2
 1967 10:38:05 PM,-2874.67,5891.22,-13.01
 1967 10:44:07 PM,2623.85,-6018.96,-4.3
 1967 10:50:59 PM,-6454.23,1366.43,-0.84
 1967 10:55:53 PM,3715.25,-5420.68,-0.84
 1967 11:14:46 AM,4339.48,-4890.27,-1.35
 1967 11:22:03 AM,5395.12,3744.11,-1.35
 1967 11:41:06 AM,4683.94,4643.24,-1.15
 1967 11:45:48 AM,-1355.49,6468.69,-1.37
 1967 11:49:55 PM,-6488.08,-782.81,-0.87
 1967 11:54:55 AM,-6273.05,1983.26,-1.39
 1967 12:04:04 PM,1986.4,6384.62,-1.24
 1967 12:06:01 PM,-5731.95,-3243.45,-0.95
 1967 12:07:08 AM,-4716.32,4619.38,-1.27
 1967 12:12:32 AM,-6559.33,-1081.6,-0.86
 1967 12:12:32 AM,-6559.33,-1081.6,-0.86
 1967 12:20:13 PM,2425.57,-6115.85,-3.35
 1967 12:32:22 AM,4053.19,-5180.97,-0.86
 1967 12:47:45 AM,5591.61,-3448.2,-0.29
 1967 12:54:37 AM,-512.33,6541.07,-1.24
 1967 12:58:57 PM,6349.51,1720.91,-0.81
 1967 12:59:59 PM,-221551.46,-72857.43,14787.71
 1967 2:06:53 AM,4115.01,-5096.14,-0.77
 1967 2:07:51 AM,-2881.48,5889.31,-0.81
 1967 2:41:35 AM,2380.63,-6134.86,-1.14
 1967 2:43:55 PM,-4115.34,-5106.26,-0.8
 1967 2:50:40 AM,-370.03,-2353.36,-6347.17
 1967 3:05:00 AM,6428.11,-1404.55,-1.12
 1967 3:11:21 AM,-6167.05,2364.57,-1.14
 1967 3:16:44 AM,-6569.88,532.32,-1.16
 1967 3:17:44 AM,-5794.59,3140.94,-1.16
 1967 3:21:00 AM,-6516.07,-1008.66,-1.14
 1967 3:21:14 AM,2936.63,5864.99,-0.77
 1967 3:32:07 PM,6415.55,1472.89,-0.83
 1967 3:32:48 AM,-6528.01,743.46,0
 1967 3:38:43 PM,-960.74,-6684.69,-1.4
 1967 4:05:03 PM,4871.93,-4422.04,-0.84
 1967 4:05:50 AM,6474.54,1268.68,-0.85
 1967 4:15:08 PM,1586.51,-6349.4,-1.26
 1967 4:19:24 AM,3394.85,5648.44,-0.86
 1967 4:26:18 AM,-5102.94,4251.59,-1.33
 1967 4:36:15 PM,5916.45,-2698.15,-0.91
 1967 4:41:28 PM,3941.63,5236.09,-1.22
 1967 4:41:36 PM,3670.16,5472.61,-1.16
 1967 4:46:30 PM,-2484.05,-6074.38,-1.34
 1967 4:48:24 PM,5545.67,-3549.46,-0.85
 1967 4:51:05 AM,5463.3,3675.51,-0.85
 1967 5:03:15 PM,6016.9,-2730.65,-1.14
 1967 5:14:18 PM,-5533.44,-3588.54,-1.15
 1967 5:25:02 AM,-5288.78,-4047.19,-1.4
 1967 5:28:19 AM,97.81,-6543.66,-0.79
